"id.x" "x.x" "y.x" "plot.x" "temp1.x" "id.y" "x.y" "y.y" "plot.y" "temp1.y" "dist" "temp_diff"
"2" "H1" 0.55 0.8 "H01" 19.4 "H10" 5.5 3.45 "H01" 22 5.61471281545192 2.6
"3" "H1" 0.55 0.8 "H01" 19.4 "H11" 6.7 4.3 "H01" 22.2 7.07619247901016 2.8
"88" "H1" 0.55 0.8 "H01" 19.4 "H12" 7.4 4.95 "H01" 21.7 8.00905737274993 2.3
"89" "H1" 0.55 0.8 "H01" 19.4 "H13" 8.4 4.1 "H01" 22.6 8.5154271766013 3.2
"90" "H1" 0.55 0.8 "H01" 19.4 "H14" 9.25 6.35 "H01" 24.7 10.3195203376901 5.3
"91" "H1" 0.55 0.8 "H01" 19.4 "H15" 10.1 6 "H01" 24.7 10.8739367296302 5.3
"92" "H1" 0.55 0.8 "H01" 19.4 "H16" 7.4 1.85 "H01" 24.7 6.93000721500346 5.3
"93" "H1" 0.55 0.8 "H01" 19.4 "H17" 8.7 0.55 "H01" 24 8.15383345427168 4.6
"94" "H1" 0.55 0.8 "H01" 19.4 "H18" 10.05 1.9 "H01" 24.4 9.56347217280418 5
"95" "H1" 0.55 0.8 "H01" 19.4 "H19" 13.25 1.75 "H01" 20 12.7354819304179 0.600000000000001
"96" "H1" 0.55 0.8 "H01" 19.4 "H2" 1.8 0.9 "H01" 23.3 1.25399362039845 3.9
"97" "H1" 0.55 0.8 "H01" 19.4 "H20" 16.7 2.4 "H01" 21.8 16.2290634357008 2.4
"98" "H1" 0.55 0.8 "H01" 19.4 "H21" 17.95 4.15 "H01" 19.4 17.7195513487221 0
"99" "H1" 0.55 0.8 "H01" 19.4 "H22" 18.35 6.9 "H01" 20.7 18.8162164103201 1.3
"100" "H1" 0.55 0.8 "H01" 19.4 "H23" 14.5 0 "H01" 17.7 13.9729202388048 1.7
"101" "H1" 0.55 0.8 "H01" 19.4 "H24" 16.6 1.75 "H01" 20 16.078090682665 0.600000000000001
"102" "H1" 0.55 0.8 "H01" 19.4 "H25" 2.05 1.1 "H01" 23 1.52970585407784 3.6
"103" "H1" 0.55 0.8 "H01" 19.4 "H26" 2.65 5.7 "H01" 34 5.33104117410474 14.6
"104" "H1" 0.55 0.8 "H01" 19.4 "H27" 10.5 7.05 "H01" 29.6 11.7501063824971 10.2
"105" "H1" 0.55 0.8 "H01" 19.4 "H28" 11.15 6.8 "H01" 28.5 12.1803119828681 9.1
"106" "H1" 0.55 0.8 "H01" 19.4 "H29" 19.5 7.35 "H01" 17.8 20.0500623440427 1.6
"107" "H1" 0.55 0.8 "H01" 19.4 "H3" 1.3 3.1 "H01" 33 2.41919408068059 13.6
"108" "H1" 0.55 0.8 "H01" 19.4 "H30" 21.25 5.75 "H01" 17 21.2836204626938 2.4
"202" "H1" 0.55 0.8 "H01" 19.4 "H4" 3.1 2.55 "H01" 25 3.09273341883842 5.6
"263" "H1" 0.55 0.8 "H01" 19.4 "H5" 2.45 4.6 "H01" 31 4.2485291572496 11.6
"274" "H1" 0.55 0.8 "H01" 19.4 "H6" 1.15 6.35 "H01" 28 5.58233821977852 8.6
"285" "H1" 0.55 0.8 "H01" 19.4 "H7" 3.4 4.6 "H01" 29.4 4.75 10
"296" "H1" 0.55 0.8 "H01" 19.4 "H8" 4.1 5.2 "H01" 29 5.65353871482278 9.6
"407" "H1" 0.55 0.8 "H01" 19.4 "H9" 4 6.4 "H01" 28.4 6.57742350772702 9
"418" "H10" 5.5 3.45 "H01" 22 "H1" 0.55 0.8 "H01" 19.4 5.61471281545192 2.6
"420" "H10" 5.5 3.45 "H01" 22 "H11" 6.7 4.3 "H01" 22.2 1.47054411698527 0.199999999999999
"505" "H10" 5.5 3.45 "H01" 22 "H12" 7.4 4.95 "H01" 21.7 2.42074368738204 0.300000000000001
"506" "H10" 5.5 3.45 "H01" 22 "H13" 8.4 4.1 "H01" 22.6 2.97195222034272 0.600000000000001
"507" "H10" 5.5 3.45 "H01" 22 "H14" 9.25 6.35 "H01" 24.7 4.74051684945851 2.7
"508" "H10" 5.5 3.45 "H01" 22 "H15" 10.1 6 "H01" 24.7 5.2595151867829 2.7
"509" "H10" 5.5 3.45 "H01" 22 "H16" 7.4 1.85 "H01" 24.7 2.48394846967484 2.7
"510" "H10" 5.5 3.45 "H01" 22 "H17" 8.7 0.55 "H01" 24 4.31856457633784 2
"511" "H10" 5.5 3.45 "H01" 22 "H18" 10.05 1.9 "H01" 24.4 4.80676606462183 2.4
"512" "H10" 5.5 3.45 "H01" 22 "H19" 13.25 1.75 "H01" 20 7.93426115022691 2
"513" "H10" 5.5 3.45 "H01" 22 "H2" 1.8 0.9 "H01" 23.3 4.49360656933826 1.3
"514" "H10" 5.5 3.45 "H01" 22 "H20" 16.7 2.4 "H01" 21.8 11.2491110759917 0.199999999999999
"515" "H10" 5.5 3.45 "H01" 22 "H21" 17.95 4.15 "H01" 19.4 12.4696631871113 2.6
"516" "H10" 5.5 3.45 "H01" 22 "H22" 18.35 6.9 "H01" 20.7 13.305074220011 1.3
"517" "H10" 5.5 3.45 "H01" 22 "H23" 14.5 0 "H01" 17.7 9.63859429585041 4.3
"518" "H10" 5.5 3.45 "H01" 22 "H24" 16.6 1.75 "H01" 20 11.2294256309038 2
"519" "H10" 5.5 3.45 "H01" 22 "H25" 2.05 1.1 "H01" 23 4.17432629294836 1
"520" "H10" 5.5 3.45 "H01" 22 "H26" 2.65 5.7 "H01" 34 3.63111553107306 12
"521" "H10" 5.5 3.45 "H01" 22 "H27" 10.5 7.05 "H01" 29.6 6.16116872029974 7.6
"522" "H10" 5.5 3.45 "H01" 22 "H28" 11.15 6.8 "H01" 28.5 6.56848536574453 6.5
"523" "H10" 5.5 3.45 "H01" 22 "H29" 19.5 7.35 "H01" 17.8 14.5330657467721 4.2
"524" "H10" 5.5 3.45 "H01" 22 "H3" 1.3 3.1 "H01" 33 4.2145581025773 11
"525" "H10" 5.5 3.45 "H01" 22 "H30" 21.25 5.75 "H01" 17 15.9170506061896 5
"619" "H10" 5.5 3.45 "H01" 22 "H4" 3.1 2.55 "H01" 25 2.56320112359526 3
"680" "H10" 5.5 3.45 "H01" 22 "H5" 2.45 4.6 "H01" 31 3.25960120260132 9
"691" "H10" 5.5 3.45 "H01" 22 "H6" 1.15 6.35 "H01" 28 5.22804934942278 6
"702" "H10" 5.5 3.45 "H01" 22 "H7" 3.4 4.6 "H01" 29.4 2.39426397876258 7.4
"713" "H10" 5.5 3.45 "H01" 22 "H8" 4.1 5.2 "H01" 29 2.2410934831015 7
"824" "H10" 5.5 3.45 "H01" 22 "H9" 4 6.4 "H01" 28.4 3.30945614867458 6.4
"835" "H11" 6.7 4.3 "H01" 22.2 "H1" 0.55 0.8 "H01" 19.4 7.07619247901016 2.8
"836" "H11" 6.7 4.3 "H01" 22.2 "H10" 5.5 3.45 "H01" 22 1.47054411698527 0.199999999999999
"922" "H11" 6.7 4.3 "H01" 22.2 "H12" 7.4 4.95 "H01" 21.7 0.95524865872714 0.5
"923" "H11" 6.7 4.3 "H01" 22.2 "H13" 8.4 4.1 "H01" 22.6 1.71172427686237 0.400000000000002
"924" "H11" 6.7 4.3 "H01" 22.2 "H14" 9.25 6.35 "H01" 24.7 3.27184962979658 2.5
"925" "H11" 6.7 4.3 "H01" 22.2 "H15" 10.1 6 "H01" 24.7 3.80131556174964 2.5
"926" "H11" 6.7 4.3 "H01" 22.2 "H16" 7.4 1.85 "H01" 24.7 2.54803846124818 2.5
"927" "H11" 6.7 4.3 "H01" 22.2 "H17" 8.7 0.55 "H01" 24 4.25 1.8
"928" "H11" 6.7 4.3 "H01" 22.2 "H18" 10.05 1.9 "H01" 24.4 4.12098289246631 2.2
"929" "H11" 6.7 4.3 "H01" 22.2 "H19" 13.25 1.75 "H01" 20 7.0288690413181 2.2
"930" "H11" 6.7 4.3 "H01" 22.2 "H2" 1.8 0.9 "H01" 23.3 5.96405902049938 1.1
"931" "H11" 6.7 4.3 "H01" 22.2 "H20" 16.7 2.4 "H01" 21.8 10.1788997440784 0.399999999999999
"932" "H11" 6.7 4.3 "H01" 22.2 "H21" 17.95 4.15 "H01" 19.4 11.2509999555595 2.8
"933" "H11" 6.7 4.3 "H01" 22.2 "H22" 18.35 6.9 "H01" 20.7 11.9366033694682 1.5
"934" "H11" 6.7 4.3 "H01" 22.2 "H23" 14.5 0 "H01" 17.7 8.90673902166219 4.5
"935" "H11" 6.7 4.3 "H01" 22.2 "H24" 16.6 1.75 "H01" 20 10.2231355268332 2.2
"936" "H11" 6.7 4.3 "H01" 22.2 "H25" 2.05 1.1 "H01" 23 5.64468776815866 0.800000000000001
"937" "H11" 6.7 4.3 "H01" 22.2 "H26" 2.65 5.7 "H01" 34 4.28514877221317 11.8
"938" "H11" 6.7 4.3 "H01" 22.2 "H27" 10.5 7.05 "H01" 29.6 4.69068225314826 7.4
"939" "H11" 6.7 4.3 "H01" 22.2 "H28" 11.15 6.8 "H01" 28.5 5.10416496598611 6.3
"940" "H11" 6.7 4.3 "H01" 22.2 "H29" 19.5 7.35 "H01" 17.8 13.1583623601115 4.4
"941" "H11" 6.7 4.3 "H01" 22.2 "H3" 1.3 3.1 "H01" 33 5.53172667437573 10.8
"942" "H11" 6.7 4.3 "H01" 22.2 "H30" 21.25 5.75 "H01" 17 14.6220723565437 5.2
"1036" "H11" 6.7 4.3 "H01" 22.2 "H4" 3.1 2.55 "H01" 25 4.00281151192509 2.8
"1097" "H11" 6.7 4.3 "H01" 22.2 "H5" 2.45 4.6 "H01" 31 4.26057507855454 8.8
"1108" "H11" 6.7 4.3 "H01" 22.2 "H6" 1.15 6.35 "H01" 28 5.91650234513602 5.8
"1119" "H11" 6.7 4.3 "H01" 22.2 "H7" 3.4 4.6 "H01" 29.4 3.31360830515618 7.2
"1130" "H11" 6.7 4.3 "H01" 22.2 "H8" 4.1 5.2 "H01" 29 2.75136329843952 6.8
"1241" "H11" 6.7 4.3 "H01" 22.2 "H9" 4 6.4 "H01" 28.4 3.42052627529741 6.2
"1256" "H1100" 1.2 3.25 "HC4" 5 "H1101" 3.3 2.45 "HC4" 4.6 2.24722050542442 0.4
"1257" "H1100" 1.2 3.25 "HC4" 5 "H1102" 2.3 2.3 "HC4" 5.9 1.45344418537486 0.9
"1258" "H1100" 1.2 3.25 "HC4" 5 "H1103" 2.3 2.2 "HC4" 6.3 1.52069063257455 1.3
"1259" "H1100" 1.2 3.25 "HC4" 5 "H1104" 9.15 2.8 "HC4" 5.6 7.9627256639922 0.6
"1260" "H1100" 1.2 3.25 "HC4" 5 "H1105" 15.3 0.45 "HC4" 6.1 14.3753260832581 1.1
"1261" "H1100" 1.2 3.25 "HC4" 5 "H1106" 15.75 1.15 "HC4" 6.7 14.7007652862019 1.7
"1262" "H1100" 1.2 3.25 "HC4" 5 "H1107" 16 1.1 "HC4" 6.7 14.955350213218 1.7
"1263" "H1100" 1.2 3.25 "HC4" 5 "H1108" 13.15 8.55 "HC4" 7 13.0725858191867 2
"1264" "H1100" 1.2 3.25 "HC4" 5 "H1109" 13.3 8.7 "HC4" 7.2 13.2707384873638 2.2
"1265" "H1100" 1.2 3.25 "HC4" 5 "H1110" 13.15 8.9 "HC4" 7.6 13.2183584457375 2.6
"1266" "H1100" 1.2 3.25 "HC4" 5 "H1111" 8.65 9 "HC4" 6.6 9.41089793802908 1.6
"1267" "H1100" 1.2 3.25 "HC4" 5 "H1112" 8 8.3 "HC4" 6 8.47009445047692 1
"1268" "H1100" 1.2 3.25 "HC4" 5 "H1113" 8.05 7.5 "HC4" 6 8.06132743411406 1
