"id"	"FFD"	"mean_temp"	"temp1"	"plot"
"1"	"H1"	2017-06-21	19.6	19.4	"H01"
"2"	"H10"	NA	21.2333333333333	22	"H01"
"3"	"H11"	NA	21.9666666666667	22.2	"H01"
"4"	"H1100"	2017-07-07	5	5	"HC4"
"5"	"H1101"	2017-06-25	4.6	4.6	"HC4"
"6"	"H1102"	2017-06-25	5.9	5.9	"HC4"
"7"	"H1103"	2017-07-01	6.3	6.3	"HC4"
"8"	"H1104"	2017-07-30	5.6	5.6	"HC4"
"9"	"H1105"	NA	6.1	6.1	"HC4"
"10"	"H1106"	2017-07-04	6.7	6.7	"HC4"
"11"	"H1107"	2017-07-01	6.7	6.7	"HC4"
"12"	"H1108"	2017-07-07	7	7	"HC4"
"13"	"H1109"	2017-07-07	7.2	7.2	"HC4"
"14"	"H1110"	2017-07-01	7.6	7.6	"HC4"
"15"	"H1111"	2017-06-25	6.6	6.6	"HC4"
"16"	"H1112"	NA	6	6	"HC4"
"17"	"H1113"	2017-07-07	6	6	"HC4"
"18"	"H1114"	2017-07-12	6.8	6.8	"HC4"
"19"	"H1115"	2017-07-04	7	7	"HC4"
"20"	"H1116"	2017-06-25	6.6	6.6	"HC4"
"21"	"H1117"	2017-06-25	5	5	"HC4"
"22"	"H1118"	2017-07-01	5.9	5.9	"HC4"
"23"	"H1119"	2017-06-14	6	6	"HC4"
"24"	"H1120"	2017-06-25	4.8	4.8	"HC4"
"25"	"H1121"	NA	5.7	5.7	"HC4"
"26"	"H1122"	2017-06-25	6.4	6.4	"HC4"
"27"	"H1123"	2017-06-25	8	8	"HC4"
"28"	"H1124"	2017-06-25	6.4	6.4	"HC5"
"29"	"H1125"	2017-07-07	6.3	6.3	"HC5"
"30"	"H1126"	NA	6.4	6.4	"HC5"
"31"	"H1127"	NA	7	7	"HC5"
"32"	"H1128"	NA	6.7	6.7	"HC5"
"33"	"H1129"	2017-07-01	8	8	"HC5"
"34"	"H1130"	2017-06-25	7.6	7.6	"HC5"
"35"	"H1131"	NA	7.3	7.3	"HC5"
"36"	"H1132"	2017-07-07	8.1	8.1	"HC5"
"37"	"H1133"	2017-06-25	8.4	8.4	"HC5"
"38"	"H1134"	2017-07-01	8.4	8.4	"HC5"
"39"	"H1135"	2017-07-22	8.4	8.4	"HC5"
"40"	"H1136"	2017-06-25	7.7	7.7	"HC5"
"41"	"H1137"	2017-07-07	6.7	6.7	"HC5"
"42"	"H1138"	2017-07-01	8.1	8.1	"HC5"
"43"	"H1139"	2017-07-30	7.8	7.8	"HC5"
"44"	"H1140"	2017-07-01	7.9	7.9	"HC5"
"45"	"H1141"	NA	7.7	7.7	"HC5"
"46"	"H1142"	2017-07-01	7.5	7.5	"HC5"
"47"	"H1143"	NA	8	8	"HC5"
"48"	"H1144"	2017-06-14	6.9	6.9	"HC5"
"49"	"H1145"	NA	8	8	"HC5"
"50"	"H1146"	2017-07-01	7.5	7.5	"HC5"
"51"	"H1147"	2017-06-25	7.8	7.8	"HC5"
"52"	"H1148"	2017-07-15	8	8	"HC5"
"53"	"H1149"	2017-06-14	7	7	"HC5"
"54"	"H1150"	2017-07-01	7.3	7.3	"HC5"
"55"	"H1151"	2017-07-01	6	6	"HC5"
"56"	"H1152"	NA	6.8	6.8	"HC5"
"57"	"H1153"	2017-06-25	7	7	"HC5"
"58"	"H1154"	2017-06-25	7.2	7.2	"HC6"
"59"	"H1155"	2017-06-15	7	7	"HC6"
"60"	"H1156"	2017-06-25	7.4	7.4	"HC6"
"61"	"H1157"	NA	7	7	"HC6"
"62"	"H1158"	2017-06-25	7	7	"HC6"
"63"	"H1159"	NA	7	7	"HC6"
"64"	"H1160"	NA	6.6	6.6	"HC6"
"65"	"H1161"	NA	7	7	"HC6"
"66"	"H1162"	2017-06-25	7.4	7.4	"HC6"
"67"	"H1163"	NA	6.7	6.7	"HC6"
"68"	"H1164"	NA	6.7	6.7	"HC6"
"69"	"H1165"	NA	7.1	7.1	"HC6"
"70"	"H1166"	NA	6.7	6.7	"HC6"
"71"	"H1167"	NA	7	7	"HC6"
"72"	"H1168"	2017-06-25	7	7	"HC6"
"73"	"H1169"	2017-07-01	7.1	7.1	"HC6"
"74"	"H1170"	2017-07-15	7	7	"HC6"
"75"	"H1171"	2017-06-25	7.2	7.2	"HC6"
"76"	"H1172"	2017-06-25	7.2	7.2	"HC6"
"77"	"H1173"	2017-06-25	7.1	7.1	"HC6"
