"id"	"plot"	"FFD"	"mean_temp"	"temp1"	"n_fr"	"total_seeds"	"seed_data"	"n_fruits"	"n_seeds"	"seeds_per_fr"	"diam1"	"diam2"	"nstems"	"nfl"	"maxh"	"medianh"	"area"
"1"	"H1"	"H01"	2017-06-21	19.6	19.4	8	269.3333333333	"yes"	8	269.3333333333	33.6666666666625	32	12	2	37	106	6.1	1206.37157897848
"2"	"H10"	"H01"	NA	21.2333333333333	22	NA	NA	NA	NA	NA	NA	45	29	0	1	55	2.1	4099.77841293468
"3"	"H11"	"H01"	NA	21.9666666666667	22.2	NA	NA	NA	NA	NA	NA	55	42	11	34	129	6.31	7257.07902979242
"4"	"H1100"	"HC4"	2017-07-07	5	5	5	187.5	"yes"	5	187.5	37.5	66	42	5	36	122	6	8708.49483575091
"5"	"H1101"	"HC4"	2017-06-25	4.6	4.6	44	2101	"yes"	44	2101	47.75	82	62	16	30	127	8	15971.8570508505
"6"	"H1102"	"HC4"	2017-06-25	5.9	5.9	25	1100	"yes"	25	1100	44	76	62	4	29	46	14	14803.1845837151
"7"	"H1103"	"HC4"	2017-07-01	6.3	6.3	9	354	"yes"	9	354	39.3333333333333	71	57	5	42	122	6	12714.0254690779
"8"	"H1104"	"HC4"	2017-07-30	5.6	5.6	NA	NA	NA	0	0	NA	83	70	0	1	101	3.3	18252.6533173567
"9"	"H1105"	"HC4"	NA	6.1	6.1	NA	NA	NA	NA	NA	NA	62	49	0	1	65	2	9544.15848160579
"10"	"H1106"	"HC4"	2017-07-04	6.7	6.7	1	14	"yes"	1	14	14	82	69	1	2	81	3.4	17775.131234011
"11"	"H1107"	"HC4"	2017-07-01	6.7	6.7	7	288.75	"yes"	7	288.75	41.25	14	73	2	38	128	7.3	3210.70769196877
"12"	"H1108"	"HC4"	2017-07-07	7	7	3	105	"yes"	3	105	35	35	32	1	24	103	6.2	3518.58377202057
"13"	"H1109"	"HC4"	2017-07-07	7.2	7.2	6	262	"yes"	6	262	43.6666666666667	71	32	2	37	12	9	7137.69850895601
"14"	"H1110"	"HC4"	2017-07-01	7.6	7.6	4	176	"yes"	4	176	44	55	27	2	32	20	8.8	4665.26509058084
"15"	"H1111"	"HC4"	2017-06-25	6.6	6.6	12	519	"yes"	12	519	43.25	81	46	4	10	20	10.5	11705.5742272756
"16"	"H1112"	"HC4"	NA	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	"H1113"	"HC4"	2017-07-07	6	6	NA	NA	"no"	0	0	NA	32	27	1	2	58	2.5	2714.33605270158
"18"	"H1114"	"HC4"	2017-07-12	6.8	6.8	NA	NA	NA	0	0	NA	9	6	0	1	71	3	169.646003293849
"19"	"H1115"	"HC4"	2017-07-04	7	7	1	16	"yes"	1	16	16	1	11	1	2	94	5.5	34.5575191894877
"20"	"H1116"	"HC4"	2017-06-25	6.6	6.6	NA	NA	"no"	0	0	NA	29	11	1	37	43	15.2	1002.16805649514
"21"	"H1117"	"HC4"	2017-06-25	5	5	14	619.5	"yes"	14	619.5	44.25	59	51	3	8	18	10.2	9453.05229465169
"22"	"H1118"	"HC4"	2017-07-01	5.9	5.9	14	521.5	"yes"	14	521.5	37.25	4	32	2	36	28	10	402.123859659494
"23"	"H1119"	"HC4"	2017-06-14	6	6	17	473.1666666667	"yes"	17	473.1666666667	27.8333333333353	44	30	4	14	25	8	4146.90230273853
"24"	"H1120"	"HC4"	2017-06-25	4.8	4.8	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"25"	"H1121"	"HC4"	NA	5.7	5.7	NA	NA	NA	NA	NA	NA	76	51	6	1	130	9	12176.813125314
"26"	"H1122"	"HC4"	2017-06-25	6.4	6.4	NA	NA	"no"	0	0	NA	37	18	1	24	119	7.5	2092.3007072908
"27"	"H1123"	"HC4"	2017-06-25	8	8	4	102.6666666667	"yes"	4	102.6666666667	25.666666666675	48	11	2	32	83	3	1658.76092109541
"28"	"H1124"	"HC5"	2017-06-25	6.4	6.4	3	85.5	"yes"	3	85.5	28.5	55	27	2	24	33	11.7	4665.26509058084
"29"	"H1125"	"HC5"	2017-07-07	6.3	6.3	1	43	"yes"	1	43	43	33	30	1	2	75	3.5	3110.1767270539
"30"	"H1126"	"HC5"	NA	6.4	6.4	NA	NA	NA	NA	NA	NA	59	42	4	1	127	9	7784.86659559551
"31"	"H1127"	"HC5"	NA	7	7	NA	NA	NA	NA	NA	NA	52	19	0	1	89	3.2	3103.89354174672
"32"	"H1128"	"HC5"	NA	6.7	6.7	NA	NA	NA	NA	NA	NA	9	5	0	1	79	3.2	141.371669411541
"33"	"H1129"	"HC5"	2017-07-01	8	8	2	58	"yes"	2	58	29	29	6	1	15	103	6.2	546.637121724624
"34"	"H1130"	"HC5"	2017-06-25	7.6	7.6	4	112	"yes"	4	112	28	55	42	3	32	86	4.0666666667	7257.07902979242
"35"	"H1131"	"HC5"	NA	7.3	7.3	NA	NA	NA	NA	NA	NA	8	16	0	1	62	2.1	402.123859659494
"36"	"H1132"	"HC5"	2017-07-07	8.1	8.1	NA	NA	NA	0	0	NA	55	42	3	39	76	3.5	7257.07902979242
"37"	"H1133"	"HC5"	2017-06-25	8.4	8.4	16	565.3333333333	"yes"	16	565.3333333333	35.3333333333312	6	12	1	24	96	5.7	226.194671058465
"38"	"H1134"	"HC5"	2017-07-01	8.4	8.4	3	92	"yes"	3	92	30.6666666666667	32	29	1	24	104	6.3	2915.39798253133
"39"	"H1135"	"HC5"	2017-07-22	8.4	8.4	NA	NA	NA	0	0	NA	41	36	0	1	66	2.6	4636.99075669853
"40"	"H1136"	"HC5"	2017-06-25	7.7	7.7	6	181.5	"yes"	6	181.5	30.25	55	27	2	37	87	3.2	4665.26509058084
"41"	"H1137"	"HC5"	2017-07-07	6.7	6.7	10	336.6666666667	"yes"	10	336.6666666667	33.66666666667	55	42	2	39	113	6.2	7257.07902979242
"42"	"H1138"	"HC5"	2017-07-01	8.1	8.1	3	112	"yes"	3	112	37.3333333333333	44	27	1	24	56	2.2	3732.21207246467
"43"	"H1139"	"HC5"	2017-07-30	7.8	7.8	NA	NA	NA	0	0	NA	10	17	1	2	8	1.7	534.070751110265
"44"	"H1140"	"HC5"	2017-07-01	7.9	7.9	3	102	"yes"	3	102	34	59	27	1	24	25	12.1	5004.55709716854
"45"	"H1141"	"HC5"	NA	7.7	7.7	NA	NA	NA	NA	NA	NA	52	49	0	1	63	2	8004.77808134679
"46"	"H1142"	"HC5"	2017-07-01	7.5	7.5	2	48	"yes"	2	48	24	35	27	1	15	96	5.7	2968.80505764235
"47"	"H1143"	"HC5"	NA	8	8	NA	NA	NA	NA	NA	NA	29	21	0	1	80	3.3	1913.22992603618
"48"	"H1144"	"HC5"	2017-06-14	6.9	6.9	13	572	"yes"	13	572	44	80	57	3	39	120	6.9	14325.6625003695
"49"	"H1145"	"HC5"	NA	8	8	NA	NA	NA	NA	NA	NA	75	56	0	1	6	1	13194.6891450771
"50"	"H1146"	"HC5"	2017-07-01	7.5	7.5	NA	NA	NA	0	0	NA	6	3	1	24	94	5.5	56.5486677646163
"51"	"H1147"	"HC5"	2017-06-25	7.8	7.8	9	297	"yes"	9	297	33	71	46	3	42	28	10.9	10260.4416066243
"52"	"H1148"	"HC5"	2017-07-15	8	8	1	30	"yes"	1	30	30	64	42	1	24	82	3.5	8444.60105284936
"53"	"H1149"	"HC5"	2017-06-14	7	7	3	102	"yes"	3	102	34	36	30	1	32	95	5.6	3392.92006587698
"54"	"H1150"	"HC5"	2017-07-01	7.3	7.3	NA	NA	NA	0	0	NA	44	27	1	24	115	7.3	3732.21207246467
"55"	"H1151"	"HC5"	2017-07-01	6	6	19	764.75	"yes"	19	764.75	40.25	63	27	3	7	29	11.2333333333	5343.84910375624
"56"	"H1152"	"HC5"	NA	6.8	6.8	NA	NA	NA	NA	NA	NA	39	35	0	1	100	5.6	4288.27397215007
"57"	"H1153"	"HC5"	2017-06-25	7	7	5	85	"yes"	5	85	17	55	42	2	36	32	10.4	7257.07902979242
"58"	"H1154"	"HC6"	2017-06-25	7.2	7.2	10	420	"yes"	10	420	42	55	6	2	3	23	6.7	1036.72557568463
"59"	"H1155"	"HC6"	2017-06-15	7	7	3	92	"yes"	3	92	30.6666666666667	NA	NA	1	24	127	9	NA
"60"	"H1156"	"HC6"	2017-06-25	7.4	7.4	9	319.5	"yes"	9	319.5	35.5	44	57	1	37	127	9	7879.1143752032
"61"	"H1157"	"HC6"	NA	7	7	NA	NA	NA	NA	NA	NA	53	35	0	1	79	3.2	5827.65437240907
"62"	"H1158"	"HC6"	2017-06-25	7	7	7	337.75	"yes"	7	337.75	48.25	6	2	1	24	87	4.5	37.6991118430775
"63"	"H1159"	"HC6"	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"64"	"H1160"	"HC6"	NA	6.6	6.6	NA	NA	NA	NA	NA	NA	9	17	0	1	8	1.7	480.663675999238
"65"	"H1161"	"HC6"	NA	7	7	NA	NA	NA	NA	NA	NA	11	15	0	1	7	1.4	518.362787842316
