plot	id	diam1	diam2	nstems	nfl	maxh	medianh	comments_peak
H01	H1	2,3	1,7	2	6	6,5	6,1	
H01	H2	NA	NA	NA	NA	NA	NA	
H01	H3	2,3	2,1	1	1	3,2	3,2	
H01	H4	2,1	1,9	1	6	6,6	6,6	
H01	H5	1,3	1,3	1	4	4,5	4,5	
H01	H6	5	3,6	2	4	2	1,35	some buds look dead
H01	H7	4	2,5	1	4	4	4	
H01	H8	5,7	4	3	9	7	4,87	
H01	H9	2,2	1,9	0	0	2	2	
H01	H10	3,2	2,2	0	0	2,1	2,1	
H01	H11	4	3	11	45	9,4	6,31	
H01	H12	3	2,5	1	4	8	8	
H01	H13	4,1	3,9	2	4	5,9	4,15	
H01	H14	5	3,4	1	5	5,5	5,5	
H01	H15	14	10	0	0	4,4	4,4	
H01	H16	NA	NA	NA	NA	NA	NA	
H01	H17	3,5	2,7	6	22	7,6	7	
H01	H18	8	5	0	0	3,5	3,5	
H01	H19	4,9	2,5	12	46	8,2	8,2	
H01	H20	5,3	4,3	21	147	14,4	7,7	
H01	H21	3,5	3,3	5	29	10,8	7,14	Peak was also measured on the 29.06.17, stems and rosette had grown quite a bit
H01	H22	4,2	3,6	5	8	2.3	1,5	
H01	H23	3,4	1,8	1	3	3,9	3,9	
H01	H24	6,2	4,3	2	5	6,4	4,55	
H01	H25	8,5	6,5	9	12	3,5	2,5	frozen in B4, didn't flower
H01	H26	12	16	10	34	9	6,25	
H01	H27	4,5	2,5	1	NA	3	3	had one flowering stem which was grazed
H01	H28	6	3	5	14	7,5	6,02	
H01	H29	NA	NA	NA	NA	NA	NA	
H01	H30	2,6	2,4	1	4	3,3	3,3	
H02	H31	4	3	2	2	5.2	4	
H02	H32	9	5	9	12	11,5	7,2222222222	
H02	H33	NA	NA	NA	NA	NA	NA	
H02	H34	11.2	11	14	82	15	10	
H02	H35	NA	NA	NA	NA	NA	NA	
H02	H36	NA	NA	NA	NA	NA	NA	
H02	H37	3,5	3	1	5	10,4	10,4	
H02	H38	10	6	10	30	11,5	7	
H02	H39	4.3	3.5	0	0	2.4	2	
H02	H40	7.5	4.4	0	0	4.1	3	
H02	H41	12	11	15	61	15	12	
H02	H42	6.8	5.6	0	0	7.6	7,6	
H02	H43	NA	NA	NA	NA	NA	NA	
H02	H44	4.5	3.5	0	0	3.9	3	
H02	H45	4,2	3.5	1	3	6.6	6,6	
H02	H46	NA	NA	NA	NA	NA	NA	
H02	H47	5	4	1	4	9,2	9,2	
H02	H48	4,2	3	5	13	13	9	
H02	H49	14	5	8	24	10,5	9	
H02	H50	4	3,5	1	2	5,5	5,5	
H02	H51	NA	NA	NA	NA	NA	NA	
H02	H52	10	3	2	8	18	16,5	
H02	H53	10	6	1	7	30.6	30,6	
H02	H54	6	3	2	5	7,1	6,2	
H02	H55	2,9	2,1	1	4	5,7	5,7	
H02	H56	5	4	5	32	17,5	11	
