record	id	plot	x	y	peak	comments	date	temp	stage
1	H1	H01	0,55	0,8	X		19/05/2017	19,4	VS
1	H2	H01	1,8	0,9	-	09/06/17: purple and not very lively looking	19/05/2017	23,3	VS
1	H3	H01	1,3	3,1	X		19/05/2017	33	VS
1	H4	H01	3,1	2,55	X		19/05/2017	25	VS
1	H5	H01	2,45	4,6	X		19/05/2017	31	VS
1	H6	H01	1,15	6,35	X		19/05/2017	28	B4
1	H7	H01	3,4	4,6	X		19/05/2017	29,4	VS
1	H8	H01	4,1	5,2	X		19/05/2017	29	VS
1	H9	H01	4	6,4	X		19/05/2017	28,4	VS
1	H10	H01	5,5	3,45	X		19/05/2017	22	VS
1	H11	H01	6,7	4,3	X		19/05/2017	22,2	VL
1	H12	H01	7,4	4,95	X		19/05/2017	21,7	VS
1	H13	H01	8,4	4,1	X		19/05/2017	22,6	VL
1	H14	H01	9,25	6,35	X		19/05/2017	24,7	VL
1	H15	H01	10,1	6	X		19/05/2017	24,7	VL
1	H16	H01	7,4	1,85	-		19/05/2017	24,7	B1
1	H17	H01	8,7	0,55	X		19/05/2017	24	B1
1	H18	H01	10,05	1,9	X		19/05/2017	24,4	VL
1	H19	H01	13,25	1,75	X		19/05/2017	20	B1
1	H20	H01	16,7	2,4	X		19/05/2017	21,8	B2
1	H21	H01	17,95	4,15	X		19/05/2017	19,4	B2
1	H22	H01	18,35	6,9	X		19/05/2017	20,7	VL
1	H23	H01	14,5	0	X		19/05/2017	17,7	VS
1	H24	H01	16,6	1,75	X		19/05/2017	20	VS
1	H25	H01	2,05	1,1	X		19/05/2017	23	VS
1	H26	H01	2,65	5,7	X		19/05/2017	34	B1
1	H27	H01	10,5	7,05	X		19/05/2017	29,6	VL
1	H28	H01	11,15	6,8	X		19/05/2017	28,5	VL
1	H29	H01	19,5	7,35	-		19/05/2017	17,8	VL
1	H30	H01	21,25	5,75	X		19/05/2017	17	VS
1	H31	H02	0,35	0,5	X		19/05/2017	18,7	VL
1	H32	H02	1,75	3,3	X		19/05/2017	21,7	VL
1	H33	H02	2,5	6,45	-		19/05/2017	17,6	VS
1	H34	H02	2,8	7,6	X		19/05/2017	16,7	VL
1	H35	H02	7,15	5,1	-		19/05/2017	13,4	VL
1	H36	H02	6,8	1,9	-		19/05/2017	12	VS
1	H37	H02	7,6	4,7	X		19/05/2017	14,6	VL
1	H38	H02	6,7	8,7	X		19/05/2017	15,4	VL
1	H39	H02	11,3	6,5	X		19/05/2017	18,8	VS
1	H40	H02	13,8	7,9	X		19/05/2017	24,7	VL
1	H41	H02	16,1	5	X	orange smut fungal infection	19/05/2017	18,6	VS
1	H42	H02	16,35	8,9	X		19/05/2017	24,6	VS
1	H43	H02	17,2	6,9	-	orange smut fungal infection	19/05/2017	16	VL
1	H44	H02	16,3	2,5	X		19/05/2017	10,7	VS
1	H45	H02	17,35	0,8	X		19/05/2017	11	VL
1	H46	H02	14	0,3	-		19/05/2017	13,4	VL
1	H47	H02	13,9	2,35	X		19/05/2017	12,6	VS
1	H48	H02	8,8	1	X		19/05/2017	16,3	VL
1	H49	H02	8,1	0,9	X		19/05/2017	16,4	VS
1	H50	H02	5,8	3,65	X		19/05/2017	17,7	VS
1	H51	H02	0,35	9,3	-		19/05/2017	20,7	VL
1	H52	H02	1,5	9,35	X		19/05/2017	20,5	VL
1	H53	H02	2,5	9,65	X	two labels, the correct in use again on the 13th july	19/05/2017	19,6	VL
1	H54	H02	8,75	6,2	X		19/05/2017	15,8	VS
1	H55	H02	13,25	6,55	X		19/05/2017	20,9	VL
1	H56	H02	12,45	7,9	X		19/05/2017	22,6	VL
1	H57	H02	8,3	9,3	-		19/05/2017	24,7	VS
1	H58	H02	18,9	6,8	-		19/05/2017	15,7	VL
1	H59	H02	16	3	X		19/05/2017	10,8	VS
1	H60	H02	7,45	2,6	-		19/05/2017	12,8	VS
1	H61	H03	9,5	5,7	X		22/05/2017	10,1	B1
1	H62	H03	8,5	4,8	X	same plant as H71, the label in use is H62	22/05/2017	10,4	B1
1	H63	H03	5,7	4,2	X	same plant as H72, the label in use is H63	22/05/2017	11	VL
1	H64	H03	3,8	0,5	-		22/05/2017	11,3	VL
1	H65	H03	1,5	2,9	X		22/05/2017	12,2	VL
1	H66	H03	3,9	1,75	X		22/05/2017	11,4	VL
1	H67	H03	5,1	1,9	X		22/05/2017	11,1	VL
1	H68	H03	7,2	0,65	X		22/05/2017	10,1	VL
1	H69	H03	9,1	1,2	-		22/05/2017	11	VL
1	H70	H03	10,1	1,5	X		22/05/2017	10,4	B1
1	H71	H03	8,5	4,5	-	same plant as H62, wich is the label in use	22/05/2017	10	VL
1	H72	H03	5,9	4,05	-	same plant as H63, wich is the label in use	22/05/2017	10,7	B1
1	H73	H03	4,45	4	X		22/05/2017	11	VL
1	H74	H03	2,75	4	X		22/05/2017	10,6	B1
1	H75	H03	0,7	1	X		22/05/2017	12,3	VL
1	H76	H03	1,6	2,8	X		22/05/2017	12,1	VL
1	H77	H03	3,25	6	-		22/05/2017	12,4	VL
1	H78	H03	10,95	6,25	X		22/05/2017	9,4	VS
1	H79	H03	11,2	5,8	X		22/05/2017	9,1	B1
1	H80	H03	11,25	6,9	x		22/05/2017	9,1	VL
1	H81	H03	11,3	6,55	X		22/05/2017	9,2	VL
1	H82	H03	5	5,95	X		22/05/2017	12	B1
1	H83	H03	4,5	6,7	X		22/05/2017	12,1	B1
1	H84	H03	0,7	5	X		22/05/2017	10	VL
1	H85	H03	2,9	1,2	-		22/05/2017	11,4	VL
1	H86	H03	3,3	1,35	X		22/05/2017	11,9	VL
1	H87	H03	9,55	1,15	X		22/05/2017	10,7	VL
1	H88	H03	9,9	5	X		22/05/2017	9,6	VL
1	H89	H03	9,95	5,6	X		22/05/2017	9,9	VL
1	H90	H03	10,55	6	-		22/05/2017	9,5	VL
1	H91	H04	-1	3,2	X		22/05/2017	31,4	VL
1	H92	H04	3,55	3,1	X		22/05/2017	44	VS
1	H93	H04	3,3	3,65	X		22/05/2017	38	VL
1	H94	H04	10,2	2,7	-		22/05/2017	25,5	VS
1	H95	H04	13,2	5,8	-		22/05/2017	27,9	VL
1	H96	H04	18,8	8,2	X		22/05/2017	17	VL
1	H97	H04	19	2,35	X		22/05/2017	20,3	VL
1	H98	H04	17,35	2,15	X		22/05/2017	21,1	VS
1	H99	H04	16,3	1,35	X		22/05/2017	20,6	VL
1	H400	H04	19,9	5,6	X		22/05/2017	18	VL
1	H401	H04	21,7	3,7	X		22/05/2017	15	VL
1	H402	H04	20,2	8,5	X		22/05/2017	17,8	VL
1	H403	H04	25,5	5,4	X		22/05/2017	11,7	VL
1	H404	H04	25,5	4,75	X		22/05/2017	11,3	VL
1	H405	H04	26,8	5,8	X		22/05/2017	11,3	VL
1	H406	H04	25,1	6,8	X		22/05/2017	14,7	B1
1	H407	H04	25,45	7,25	X		22/05/2017	14,9	VL
1	H408	H04	28,5	1,8	X		22/05/2017	11,8	VL
1	H409	H04	27,35	2,1	X		22/05/2017	12	VL
1	H410	H04	14,2	5	X		22/05/2017	27,9	VS
1	H411	H04	10,35	1,2	X		22/05/2017	24,5	VL
1	H412	H04	9,8	1,15	X		22/05/2017	28,6	VL
1	H413	H04	9,5	3,45	-		22/05/2017	27,4	VL
1	H414	H04	15,3	-0,6	X		22/05/2017	21,9	VL
1	H415	H04	7,1	-1,2	X		22/05/2017	26	VS
1	H416	H04	4,8	2	X		22/05/2017	39	VL
1	H417	H04	6,3	2,1	-		22/05/2017	43,4	VL
1	H418	H04	7,9	2,25	X		22/05/2017	45,5	VL
1	H419	H04	0,35	1,1	X		22/05/2017	24,9	VS
1	H420	H05	3,2	1,95	X		22/05/2017	27	VL
1	H421	H05	4	1,15	X		22/05/2017	25	B1
1	H422	H05	3,75	2,1	X		22/05/2017	25,9	B1
1	H423	H05	5	2,55	X		22/05/2017	32,3	VL
1	H424	H05	6,45	2,65	X		22/05/2017	21,6	B2
1	H425	H05	7,2	2,65	X		22/05/2017	21,6	B2
1	H426	H05	7,8	1,95	X		22/05/2017	21,2	VL
1	H427	H05	7,9	0,5	X		22/05/2017	20,4	VL
1	H428	H05	9,1	0,6	X		22/05/2017	20,8	VS
1	H429	H05	9,8	0,6	X		22/05/2017	21,6	B2
1	H430	H05	9,7	2,2	-		22/05/2017	20,6	VL
1	H431	H05	10,7	2,4	X		22/05/2017	21,1	VS
1	H432	H05	10,4	4,2	X		22/05/2017	23,4	VL
1	H433	H05	13	4,9	X		22/05/2017	22,7	B1
1	H434	H05	13,2	2,8	X		22/05/2017	21,4	VL
1	H435	H05	13,7	0,6	X		22/05/2017	23,7	VL
1	H436	H05	15,5	1,3	X		22/05/2017	23,3	VS
1	H437	H05	16,4	0,5	X		22/05/2017	26,5	B1
1	H438	H05	16,3	3,75	X		22/05/2017	19,3	VL
1	H439	H05	15,1	4,7	X		22/05/2017	20,6	VL
1	H440	H05	16,25	4,1	-		22/05/2017	19,5	B1
1	H441	H05	16,2	5,45	X	31/07/2017: fungal infection	22/05/2017	22	VL
1	H442	H05	17,9	5,2	X		22/05/2017	21,4	VL
1	H443	H05	18,2	1,7	X	31/07/2017: fungal infection	22/05/2017	23,6	B1
1	H444	H05	19,2	1,2	X		22/05/2017	24,1	B1
1	H445	H05	19,5	3,95	X		22/05/2017	21,5	VL
1	H446	H05	20,8	4,65	X		22/05/2017	21	B1
1	H447	H05	20,7	5,45	X		22/05/2017	22	VS
1	H448	H05	7,65	2,7	X		22/05/2017	21,2	B1
1	H449	H05	6,8	1,8	X		22/05/2017	21,2	B2
1	H316	H08	1,1	1,1	X		23/05/2017	11,2	VL
1	H317	H08	2,9	1,3	X		23/05/2017	12	VL
1	H318	H08	1,3	3,15	X	02/06/17: not very lively looking, 09/06/17: barely hanging on	23/05/2017	13	VS
1	H319	H08	0,9	3,4	X		23/05/2017	12,6	VS
1	H320	H08	3,4	3,5	X		23/05/2017	13,6	VS
1	H321	H08	4,85	1,15	X		23/05/2017	12,7	VL
1	H322	H08	7,3	2,4	X		23/05/2017	14,9	VS
1	H323	H08	11,4	-0,55	X		23/05/2017	15,5	VL
1	H324	H08	11,5	-0,1	X	02/06/17: submerged	23/05/2017	16,4	VS
1	H325	H08	12,85	1	X		23/05/2017	16,8	VS
1	H326	H08	14,15	1,55	X		23/05/2017	17,1	VS
1	H327	H08	16,5	2,65	X		23/05/2017	17	VS
1	H328	H08	16,7	2,5	-		23/05/2017	17,8	VS
1	H329	H08	18,2	0,25	X		23/05/2017	18,6	VL
1	H330	H08	18,8	1,35	X		23/05/2017	17,8	VL
1	H331	H08	20,4	1,65	X		23/05/2017	20,3	VS
1	H332	H08	21,4	0,5	X		23/05/2017	21,9	VL
1	H333	H08	22,4	0,2	X		23/05/2017	21,6	VL
1	H334	H08	22,3	2,6	X		23/05/2017	20,4	VS
1	H335	H08	24,7	1,3	X		23/05/2017	18,6	VS
1	H336	H08	26,25	0,6	X		23/05/2017	17,4	VS
1	H337	H08	24,7	0,9	X		23/05/2017	18,7	VL
1	H338	H08	20,9	1,4	X		23/05/2017	20,9	VL
1	H339	H08	18,9	1,6	X		23/05/2017	17,8	VS
1	H340	H08	18,5	0,5	X		23/05/2017	18,9	VL
1	H341	H08	17,55	0,25	X		23/05/2017	18,1	VL
1	H342	H08	10,9	-0,45	X		23/05/2017	15,1	VL
1	H343	H08	1,6	2,95	X		23/05/2017	13	VS
1	H344	H08	0,4	3,25	X		23/05/2017	12,6	VS
1	H345	H08	1,25	1	X		23/05/2017	11	VL
1	H346	H09	6	3,45	X		25/05/2017	9	VS
1	H347	H09	6,9	3,35	X		25/05/2017	9,2	VS
1	H348	H09	10,1	2,8	X		25/05/2017	9,2	VS
1	H349	H09	14,65	3,7	X		25/05/2017	9,2	VS
1	H350	H09	14,6	3,55	X		25/05/2017	9,4	VS
1	H351	H09	15,9	3,4	X		25/05/2017	9,5	VS
1	H352	H09	16,4	3,4	X		25/05/2017	9,2	VS
1	H353	H09	16,7	3,25	X		25/05/2017	9	VL
1	H354	H09	16,2	2,75	X		25/05/2017	9,1	VS
1	H355	H09	17,2	2,7	X		25/05/2017	9,4	VL
1	H356	H09	17	3,15	X		25/05/2017	9,1	VL
1	H357	H09	17,15	3,45	X		25/05/2017	9	VL
1	H358	H09	18	2,65	X		25/05/2017	9	VL
1	H359	H09	18,3	3,15	X		25/05/2017	8,9	VL
1	H360	H09	19,5	3,4	X		25/05/2017	8,7	VL
1	H361	H09	19,9	2,3	X		25/05/2017	9,2	VL
1	H362	H09	19	0,3	X		25/05/2017	9,4	VS
1	H363	H09	19,9	0,05	X		25/05/2017	9,2	VL
1	H364	H09	11,65	1,45	X		25/05/2017	9,6	VS
1	H365	H09	6,7	1,45	X		25/05/2017	9,4	VL
1	H366	H09	6,6	0,3	X		25/05/2017	9,5	VS
1	H367	H09	4,15	1	X		25/05/2017	9,4	VS
1	H368	H09	2,4	0,3	X	02/06/17: not very lively looking	25/05/2017	9,1	VS
1	H369	H09	1,7	0,75	-	wrong sp/	25/05/2017	8,9	B1
1	H370	H09	2,8	3,9	X		25/05/2017	8,6	VL
1	H371	H09	4	3,75	X		25/05/2017	8,8	VL
1	H372	H09	4	3,55	X		25/05/2017	8,8	VS
1	H373	H09	5,9	2,7	X		25/05/2017	9,1	VL
1	H374	H09	4,5	1,25	X		25/05/2017	9,4	VS
1	H375	H09	10,1	3,05	-		25/05/2017	9,5	VL
1	H376	H10	1	0	-		26/05/2017	25,2	B2
1	H377	H10	1,3	0,35	X		26/05/2017	20,7	VL
1	H378	H10	1,1	-0,6	X		26/05/2017	24,3	B1
1	H379	H10	2,25	-0,5	-		26/05/2017	20	VL
1	H380	H10	2,2	-0,4	X		26/05/2017	19,7	VL
1	H381	H10	1,1	1,65	X		26/05/2017	19,5	VL
1	H382	H10	6,05	3,6	X		26/05/2017	17,6	VL
