"stream"	"patch"	"mother_pl_id_old"	"mother_pl_id_new"	"offspring_id_new"	"corrected"	"diam_fl_mean"	"first_fl"	"last_fl"	"first_bud"	"last_bud"	"peak_fl"	"mean_fl"	"dur_fl"	"temp_ori"
"1"	"WS"	"2"	"10"	"10"	"6"	"NO"	NA	2017-05-28	2017-06-02	2017-05-28	2017-06-02	2017-05-28	17316.5	5	31
"2"	"WS"	"2"	"10"	"10"	"4"	"NO"	7	2017-05-28	2017-06-19	2017-06-02	2017-06-16	2017-06-16	17325	22	31
"3"	"WS"	"2"	"10"	"10"	"1"	"NO"	NA	2017-05-28	2017-06-02	2017-05-28	2017-06-09	2017-05-28	17316.5	5	31
"4"	"WS"	"2"	"10"	"10"	"8"	"NO"	7.5	2017-06-02	2017-06-16	2017-06-02	2017-06-16	2017-06-09	17326	14	31
"5"	"WS"	"2"	"10"	"10"	"7"	"NO"	NA	2017-05-24	2017-05-24	2017-05-24	2017-05-24	2017-05-24	17310	0	31
"6"	"WS"	"2"	"10"	"10"	"2"	"NO"	6.83333333333333	2017-06-02	2017-06-16	2017-06-09	2017-06-16	2017-06-09	17326	14	31
"7"	"WS"	"2"	"10"	"10"	"9"	"NO"	8.16666666666667	2017-06-02	2017-06-19	2017-06-02	2017-06-16	2017-06-09	17327.5	17	31
"8"	"WS"	"2"	"10"	"10"	"5"	"NO"	NA	2017-06-02	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17319	0	31
"9"	"Park"	"5"	"1012"	"1012"	"3"	"NO"	7	2017-05-24	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17321.5	23	16.4
"10"	"Park"	"5"	"1012"	"1012"	"9"	"NO"	6.16666666666667	2017-05-28	2017-06-09	2017-05-28	2017-06-16	2017-06-09	17320	12	16.4
"11"	"Park"	"5"	"1012"	"1012"	"8"	"NO"	NA	2017-06-02	2017-06-09	NA	NA	2017-06-09	17322.5	7	16.4
"12"	"Park"	"5"	"1012"	"1012"	"2"	"NO"	6.83333333333333	2017-05-24	2017-06-16	2017-05-28	2017-06-16	2017-06-16	17321.5	23	16.4
"13"	"Park"	"5"	"1012"	"1012"	"4"	"NO"	6.33333333333333	2017-05-24	2017-06-16	2017-05-24	2017-06-16	2017-06-16	17321.5	23	16.4
"14"	"Main"	"5"	"1022"	"1022"	"10"	"NO"	NA	2017-06-09	2017-06-09	2017-05-28	2017-06-09	2017-06-09	17326	0	14.6
"15"	"Main"	"5"	"1022"	"1022"	"6"	"NO"	NA	2017-05-24	2017-06-16	2017-05-24	2017-06-16	2017-05-28	17321.5	23	14.6
"16"	"Main"	"5"	"1022"	"1022"	"9"	"NO"	NA	2017-06-02	2017-06-09	2017-06-02	2017-06-09	2017-06-09	17322.5	7	14.6
"17"	"Main"	"5"	"1022"	"1022"	"3"	"NO"	NA	2017-06-02	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17319	0	14.6
"18"	"Main"	"5"	"1022"	"1022"	"8"	"NO"	6.66666666666667	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17323.5	19	14.6
"19"	"Main"	"5"	"1022"	"1022"	"7"	"NO"	7.83333333333333	2017-06-09	2017-06-16	2017-06-09	2017-06-16	2017-06-09	17329.5	7	14.6
"20"	"Main"	"5"	"1022"	"1022"	"1"	"NO"	6.83333333333333	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-16	17323.5	19	14.6
"21"	"Main"	"5"	"1022"	"1022"	"5"	"NO"	6.33333333333333	2017-06-02	2017-06-16	2017-06-02	2017-06-16	2017-06-09	17326	14	14.6
"22"	"Main"	"5"	"1022"	"1022"	"4"	"NO"	6.83333333333333	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17323.5	19	14.6
"23"	"Main"	"5"	"1022"	"1022"	"2"	"NO"	6.33333333333333	2017-06-02	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17326	14	14.6
"24"	"Main"	"11"	"1047"	"1047"	"6"	"NO"	8.16666666666667	2017-05-24	2017-06-19	2017-05-28	2017-06-16	2017-06-09	17323	26	16.6
"25"	"Main"	"11"	"1047"	"1047"	"3"	"NO"	7	2017-05-24	2017-06-16	2017-05-21	2017-06-09	2017-06-16	17321.5	23	16.6
"26"	"Main"	"11"	"1047"	"1047"	"9"	"NO"	7.33333333333333	2017-06-02	2017-06-16	2017-06-02	2017-06-16	2017-06-09	17326	14	16.6
"27"	"Main"	"11"	"1047"	"1047"	"2"	"NO"	7.16666666666667	2017-05-28	2017-06-16	2017-05-28	2017-06-09	2017-06-02	17323.5	19	16.6
"28"	"Park"	"5"	"1072"	"1072"	"3"	"NO"	NA	2017-05-18	2017-06-09	2017-05-18	2017-06-09	2017-05-24	17315	22	15.8
"29"	"Park"	"5"	"1072"	"1072"	"1"	"NO"	NA	2017-05-24	2017-05-24	2017-05-24	2017-05-28	2017-05-24	17310	0	15.8
"30"	"Park"	"5"	"1072"	"1072"	"9"	"NO"	7.16666666666667	2017-05-24	2017-06-09	2017-05-18	2017-06-02	2017-05-28	17318	16	15.8
"31"	"Park"	"5"	"1072"	"1072"	"6"	"NO"	6.16666666666667	2017-05-28	2017-06-09	2017-05-28	2017-06-02	2017-06-09	17320	12	15.8
"32"	"Park"	"5"	"1072"	"1072"	"10"	"NO"	NA	2017-05-24	2017-06-02	2017-05-28	2017-06-09	2017-06-02	17314.5	9	15.8
"33"	"17"	"4"	"12"	"12"	"10"	"NO"	NA	NA	NA	2017-05-28	2017-05-28	NA	NA	NA	12.5
"34"	"17"	"4"	"12"	"12"	"9"	"NO"	8	2017-05-24	2017-06-02	2017-05-24	2017-06-02	2017-06-02	17314.5	9	12.5
"35"	"17"	"4"	"12"	"12"	"1"	"NO"	NA	2017-05-24	2017-06-09	2017-05-24	2017-05-28	2017-05-24	17318	16	12.5
"36"	"17"	"4"	"12"	"12"	"6"	"NO"	8.33333333333333	2017-05-24	2017-06-09	2017-05-21	2017-06-02	2017-06-02	17318	16	12.5
"37"	"17"	"4"	"12"	"12"	"2"	"NO"	NA	2017-06-02	2017-06-09	NA	NA	2017-06-02	17322.5	7	12.5
"38"	"17"	"4"	"12"	"12"	"4"	"NO"	7.33333333333333	2017-05-28	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17316.5	5	12.5
"39"	"17"	"2"	"120"	"1077"	"2"	"YES"	6	2017-06-09	2017-06-16	NA	NA	2017-06-09	17329.5	7	12.6
"40"	"17"	"2"	"120"	"1077"	"4"	"YES"	5.66666666666667	2017-05-21	2017-06-02	2017-05-21	2017-06-02	2017-05-28	17313	12	12.6
"41"	"17"	"2"	"120"	"1077"	"6"	"YES"	NA	NA	NA	2017-05-28	2017-05-28	NA	NA	NA	12.6
