"stream"	"date"	"patch"	"pl_id"	"height"	"temp"	"n_fl"	"n_bud"	"stage"	"dist_water"
"1"	"17"	2015-06-30	"1"	"42"	2.6	12.5	0	2	3	50
"2"	"17"	2015-06-30	"1"	"8"	1.5	11.7	0	1	3	65
"3"	"17"	2015-06-30	"1"	"122"	4	11.2	1	1	5	100
"4"	"17"	2015-06-30	"1"	"23"	2.3	11.7	1	1	5	30
"5"	"17"	2015-06-30	"1"	"173"	5	11.3	0	2	3	10
"6"	"17"	2015-06-30	"2"	"167"	2	12.3	0	2	2.5	105
"7"	"17"	2015-06-30	"2"	"120"	2	12.6	0	1	1	95
"8"	"17"	2015-06-30	"2"	"279"	4.2	11.4	0	3	2.5	130
"9"	"17"	2015-06-30	"2"	"250"	2.7	11.3	1	0	5	25
"10"	"17"	2015-06-30	"2"	"353"	6.2	10.7	1	0	5	20
"11"	"17"	2015-06-30	"3"	"236"	2	11.5	0	3	2	180
"12"	"17"	2015-06-30	"3"	"51"	1.3	12.5	0	1	1.5	150
"13"	"17"	2015-06-30	"3"	"245"	1.1	12.1	0	2	2	60
"14"	"17"	2015-06-30	"3"	"327"	4.2	11.5	1	1	5	30
"15"	"17"	2015-06-30	"3"	"127"	6.9	10.5	0	7	4	12
"16"	"17"	2015-06-30	"4"	"131"	3	6.8	0	2	2	5
"17"	"17"	2015-06-30	"4"	"314"	3.5	8.9	0	2	3	5
"18"	"17"	2015-06-30	"4"	"12"	1.5	12.5	0	1	1.5	90
"19"	"17"	2015-06-30	"4"	"263"	1	12.2	0	1	1	110
"20"	"17"	2015-06-30	"4"	"49"	1.1	12.2	0	2	2	150
"21"	"17"	2015-06-30	"5"	"290"	1.2	11.3	0	1	2	270
"22"	"17"	2015-06-30	"5"	"85"	1.2	10.9	0	1	2	225
"23"	"17"	2015-06-30	"5"	"172"	1.9	12.1	0	1	2	100
"24"	"17"	2015-06-30	"5"	"357"	2	9.9	0	2	2.5	75
"25"	"17"	2015-06-30	"5"	"215"	3	9.9	0	3	3	20
"26"	"WS"	2015-07-01	"1"	"43"	11.9	24.4	1	1	5	1000
"27"	"WS"	2015-07-01	"1"	"82"	7	26	1	2	5	1000
"28"	"WS"	2015-07-01	"1"	"218"	6	27.9	0	3	4	1000
"29"	"WS"	2015-07-01	"1"	"53"	2.7	24	0	1	2	1000
"30"	"WS"	2015-07-01	"1"	"287"	6.5	26.8	1	2	5	1000
"32"	"WS"	2015-07-01	"2"	"10"	10.2	31	0	4	4	1000
"33"	"WS"	2015-07-01	"2"	"235"	10	32.5	1	4	5	1000
"34"	"WS"	2015-07-01	"2"	"333"	6.2	30.9	1	5	5	1000
"35"	"WS"	2015-07-01	"2"	"168"	12.6	31.2	1	3	5	1000
"36"	"WS"	2015-07-01	"3"	"223"	5.6	29.5	1	2	5	1000
"37"	"WS"	2015-07-01	"3"	"5"	5.5	30.8	1	1	5	1000
"38"	"WS"	2015-07-01	"3"	"282"	4	29.8	1	0	5	1000
"39"	"WS"	2015-07-01	"3"	"325"	7	31.3	1	2	5	1000
"40"	"WS"	2015-07-01	"3"	"144"	3.7	30.8	1	1	5	1000
"41"	"WS"	2015-07-01	"4"	"443"	5.7	29.8	0	1	4	1000
"43"	"WS"	2015-07-01	"4"	"542"	4	32.4	1	1	5	1000
"44"	"WS"	2015-07-01	"4"	"927"	3.8	33.7	1	0	5	1000
"45"	"WS"	2015-07-01	"4"	"829"	4.7	31.6	0	2	3	1000
"46"	"WS"	2015-07-01	"5"	"671"	6.9	25.4	1	2	5	1000
"48"	"WS"	2015-07-01	"5"	"599"	4.6	26.2	0	3	3	1000
"49"	"WS"	2015-07-01	"5"	"521"	9.6	26	1	7	5	1000
"50"	"WS"	2015-07-01	"5"	"746"	2.2	26.2	0	1	2	1000
"51"	"Main"	2015-07-02	"1"	"553"	9.8	22.2	1	3	5	300
"52"	"Main"	2015-07-02	"1"	"522"	7.5	22.2	1	3	5	300
"53"	"Main"	2015-07-02	"1"	"377"	8.5	23.5	1	6	5	300
"54"	"Main"	2015-07-02	"1"	"646"	9.5	23.6	1	6	5	300
"55"	"Main"	2015-07-02	"1"	"871"	9.2	23.8	1	6	5	300
"56"	"Main"	2015-07-02	"2"	"761"	9.6	23.1	1	5	5	300
"57"	"Main"	2015-07-02	"2"	"776"	7.7	22	1	5	5	300
"58"	"Main"	2015-07-02	"2"	"567"	12	22.4	1	6	5	230
"59"	"Main"	2015-07-02	"2"	"857"	7.5	22.6	0	5	3	135
"60"	"Main"	2015-07-02	"2"	"732"	7.4	22.7	1	2	5	75
"61"	"Main"	2015-07-02	"5"	"730"	5.7	20.2	1	2	5	300
"62"	"Main"	2015-07-02	"5"	"786"	11	20.4	0	6	2.5	300
"63"	"Main"	2015-07-02	"5"	"559"	6.7	20.5	1	3	5	300
"64"	"Main"	2015-07-02	"5"	"795"	3.4	14.9	1	3	5	150
"65"	"Main"	2015-07-02	"5"	"1022"	4.5	14.6	1	3	5	130
"66"	"Main"	2015-07-02	"11"	"748"	10.2	17.2	1	5	5	300
"67"	"Main"	2015-07-02	"11"	"1047"	7.4	16.6	1	3	5	300
"68"	"Main"	2015-07-02	"11"	"531"	8	16.8	1	5	5	300
"69"	"Main"	2015-07-02	"11"	"759"	5.8	16.2	0	6	4	300
"70"	"Main"	2015-07-02	"11"	"964"	9.2	15.4	3	3	5	300
"71"	"Main"	2015-07-02	"12"	"524"	5.4	15.1	1	1	5	60
"72"	"Main"	2015-07-02	"12"	"654"	8.5	15.5	1	3	5	50
"73"	"Main"	2015-07-02	"12"	"690"	3.7	15	1	2	5	80
"74"	"Main"	2015-07-02	"12"	"392"	5.5	15	1	2	5	45
"75"	"Main"	2015-07-02	"12"	"530"	4.7	14.3	1	2	5	40
"76"	"Parking"	2015-07-03	"3"	"466"	5.5	16.3	0	3	3	300
"77"	"Parking"	2015-07-03	"3"	"558"	10.3	15.7	1	3	5	300
"78"	"Parking"	2015-07-03	"3"	"611"	8.3	16.9	1	4	5	300
"79"	"Parking"	2015-07-03	"3"	"983"	4.5	15.9	0	3	2	300
"80"	"Parking"	2015-07-03	"3"	"737"	5.5	16.9	1	2	5	300
"81"	"Parking"	2015-07-03	"4"	"700"	3.8	15	0	2	3	300
"82"	"Parking"	2015-07-03	"4"	"447"	6.3	15.9	1	1	5	300
"83"	"Parking"	2015-07-03	"4"	"378"	6	14.8	1	2	5	300
"84"	"Parking"	2015-07-03	"4"	"814"	4.5	14.2	0	3	4.5	300
"85"	"Parking"	2015-07-03	"4"	"595"	4.6	14.4	0	3	3	300
"86"	"Parking"	2015-07-03	"5"	"913"	5.5	16.2	1	2	5	60
"87"	"Parking"	2015-07-03	"5"	"1012"	3.5	16.4	1	2	5	40
"88"	"Parking"	2015-07-03	"5"	"1072"	4.6	15.8	1	3	5	30
"89"	"Parking"	2015-07-03	"5"	"389"	4	15.6	0	3	3	130
"90"	"Parking"	2015-07-03	"5"	"672"	4.4	15.1	1	3	5	130
"91"	"Parking"	2015-07-03	"1"	"605"	5.5	12.1	0	3	2.5	300
"92"	"Parking"	2015-07-03	"1"	"600"	6	11.9	0	4	2	300
"93"	"Parking"	2015-07-03	"1"	"782"	6	12.5	0	2	2.5	300
"94"	"Parking"	2015-07-03	"1"	"428"	13.9	11.5	0	6	3	300
"96"	"Parking"	2015-07-03	"2"	"771"	4.2	13.4	1	1	5	60
"97"	"Parking"	2015-07-03	"2"	"441"	3.3	13.2	1	3	5	120
"98"	"Parking"	2015-07-03	"2"	"867"	3	12.7	1	2	5	190
"99"	"Parking"	2015-07-03	"2"	"432"	3.4	13.4	0	3	2	100
"100"	"Parking"	2015-07-03	"2"	"791"	1.7	13.5	1	2	5	150
