stream	patch	lat	lon
3	2	396791,55	387548,65
3	3	396794,27	387553,54
3	4	396793,26	387556,97
17	5	397180,03	386806,55
17	E	397153,61	386769,52
MAIN	1	396422,12	387495,45
MAIN	2	396425,98	387487,38
MAIN	3	396449,68	387492,2
MAIN	4	396434,44	387506,16
MAIN	5	396406,9	387521,04
MAIN	6	396438,42	387485,68
MAIN	7	396435,25	387490,26
MAIN	8	396445,88	387470,8
MAIN	9	396452,87	387484,2
MAIN	10	396403,39	387531,67
MAIN	11	396449,83	387469,53
MAIN	12	396462,76	387482,22
MAIN	7(EXTRA)	396439,88	387491,65
PARKING	1	396380,29	387522,71
PARKING	2	396392,38	387518,65
PARKING	3	396349,43	387540,06
PARKING	4	396352,79	387539,55
PARKING	5	396397,1	387511,45
PARKING	6	396384,68	387527,9
PARKING	7	396293,87	387570,73
WS	1	396653,29	387504,02
WS	2	396644,1	387511,07
WS	3	396650,96	387509,7
WS	4	396636,99	387513,5
WS	5	396644,18	387506,04
WS	PV	396786,17	387552,41
