id,coordX,coordY
H1,"0,55","0,8"
H2,"1,8","0,9"
H3,"1,3","3,1"
H4,"3,1","2,55"
H5,"2,45","4,6"
H6,"1,15","6,35"
H7,"3,4","4,6"
H8,"4,1","5,2"
H9,4,"6,4"
H10,"5,5","3,45"
H11,"6,7","4,3"
H12,"7,4","4,95"
H13,"8,4","4,1"
H14,"9,25","6,35"
H15,"10,1",6
H16,"7,4","1,85"
H17,"8,7","0,55"
H18,"10,05","1,9"
H19,"13,25","1,75"
H20,"16,7","2,4"
H21,"17,95","4,15"
H22,"18,35","6,9"
H23,"14,5",0
H24,"16,6","1,75"
H25,"2,05","1,1"
H26,"2,65","5,7"
H27,"10,5","7,05"
H28,"11,15","6,8"
H29,"19,5","7,35"
H30,"21,25","5,75"
H31,"0,35","0,5"
H32,"1,75","3,3"
H33,"2,5","6,45"
H34,"2,8","7,6"
H35,"7,15","5,1"
H36,"6,8","1,9"
H37,"7,6","4,7"
H38,"6,7","8,7"
H39,"11,3","6,5"
H40,"13,8","7,9"
H41,"16,1",5
H42,"16,35","8,9"
H43,"17,2","6,9"
H44,"16,3","2,5"
H45,"17,35","0,8"
H46,14,"0,3"
H47,"13,9","2,35"
H48,"8,8",1
H49,"8,1","0,9"
H50,"5,8","3,65"
H51,"0,35","9,3"
H52,"1,5","9,35"
H53,"2,5","9,65"
H54,"8,75","6,2"
H55,"13,25","6,55"
H56,"12,45","7,9"
H57,"8,3","9,3"
H58,"18,9","6,8"
H59,16,3
H60,"7,45","2,6"
H61,"9,5","5,7"
H62,"8,5","4,8"
H63,"5,7","4,2"
H64,"3,8","0,5"
H65,"1,5","2,9"
H66,"3,9","1,75"
H67,"5,1","1,9"
H68,"7,2","0,65"
H69,"9,1","1,2"
H70,"10,1","1,5"
H71,"8,5","4,5"
H72,"5,9","4,05"
H73,"4,45",4
H74,"2,75",4
H75,"0,7",1
H76,"1,6","2,8"
H77,"3,25",6
H78,"10,95","6,25"
H79,"11,2","5,8"
H80,"11,25","6,9"
H81,"11,3","6,55"
H82,5,"5,95"
H83,"4,5","6,7"
H84,"0,7",5
H85,"2,9","1,2"
H86,"3,3","1,35"
H87,"9,55","1,15"
H88,"9,9",5
H89,"9,95","5,6"
H90,"10,55",6
H91,-1,"3,2"
H92,"3,55","3,1"
H93,"3,3","3,65"
H94,"10,2","2,7"
H95,"13,2","5,8"
H96,"18,8","8,2"
H97,19,"2,35"
H98,"17,35","2,15"
H99,"16,3","1,35"
H400,"19,9","5,6"
H401,"21,7","3,7"
H402,"20,2","8,5"
H403,"25,5","5,4"
H404,"25,5","4,75"
H405,"26,8","5,8"
H406,"25,1","6,8"
H407,"25,45","7,25"
H408,"28,5","1,8"
H409,"27,35","2,1"
H410,"14,2",5
H411,"10,35","1,2"
H412,"9,8","1,15"
H413,"9,5","3,45"
H414,"15,3","-0,6"
H415,"7,1","-1,2"
H416,"4,8",2
H417,"6,3","2,1"
H418,"7,9","2,25"
H419,"0,35","1,1"
H420,"3,2","1,95"
H421,4,"1,15"
H422,"3,75","2,1"
H423,5,"2,55"
H424,"6,45","2,65"
H425,"7,2","2,65"
H426,"7,8","1,95"
H427,"7,9","0,5"
H428,"9,1","0,6"
H429,"9,8","0,6"
H430,"9,7","2,2"
H431,"10,7","2,4"
H432,"10,4","4,2"
H433,13,"4,9"
H434,"13,2","2,8"
H435,"13,7","0,6"
H436,"15,5","1,3"
H437,"16,4","0,5"
H438,"16,3","3,75"
H439,"15,1","4,7"
H440,"16,25","4,1"
H441,"16,2","5,45"
H442,"17,9","5,2"
H443,"18,2","1,7"
H444,"19,2","1,2"
H445,"19,5","3,95"
H446,"20,8","4,65"
H447,"20,7","5,45"
H448,"7,65","2,7"
H449,"6,8","1,8"
H316,"1,1","1,1"
H317,"2,9","1,3"
H318,"1,3","3,15"
H319,"0,9","3,4"
H320,"3,4","3,5"
H321,"4,85","1,15"
H322,"7,3","2,4"
H323,"11,4","-0,55"
H324,"11,5","-0,1"
H325,"12,85",1
H326,"14,15","1,55"
H327,"16,5","2,65"
H328,"16,7","2,5"
