stream	patch	mother_pl_id	mother_pl_id_old	offspring_id	offspring_id_new	n_bud-170511	n_bud-170518	n_fl-170518	n_bud-170521	n_fl-170521	n_bud-170524	n_fl-170524	n_bud-170528	n_fl-170528	n_bud-170602	n_fl-170602	n_bud-170609	n_fl-170609	n_bud-170616	n_fl-170616	n_fl-170619	diam_fl1	diam_fl2	diam_fl3
17	1	8	8	2	2				2		3		5		3	1								
17	1	8	8	3	3		8		19		21	3	25	3	18	4		3						
17	1	8	8	5	5				8		9	4	12	2	9	2								
17	1	8	8	6	6				6		8	1	10	1	5									
17	1	8	8	7	7				5		1	1	8	1	6									
17	1	8	8	8	8				1			1	3		3									
17	1	8	8	9	9								4		1									
17	1	23	23	1	1						2		3	1	2	1								
17	1	173	173	2	2								1		1	1								
17	1	173	173	3	3				6		5	3	15	2	10									
17	1	173	173	4	4						3													
17	1	173	173	5	5				8		5	1	11	2	7	4	5							
17	1	173	173	6	6		2		5		1	3	5	2	5									
17	1	122 New	122 New	1	1								4		3									
17	1	122 New	122 New	2	2							1	3		4									
17	1	122 New	122 New	3	3								2		1	1								
17	1	122 New	122 New	4	4																			
17	1	122 New	122 New	5	5																			
17	1	122 New	122 New	6	6																			
17	1	122 New	122 New	7	7								10	1	15	2								
17	1	122 New	122 New	8	8								9	3	3	4	34	8	10	4		8	8	10
17	1	122 New	122 New	9	9																			
17	1	122 New	122 New	10	10																			
17	1	42 New	42 New	1	1							1	5	1	4									
17	1	42 New	42 New	2	2																			
17	1	42 New	42 New	3	3				5		5	2	11	2										
17	1	42 New	42 New	4	4																			
17	1	42 New	42 New	5	5								1	1										
17	1	42 New	42 New	6	6				5	1	9	4	23	4	15	1								
17	1	42 New	42 New	8	8						4	1	7	1	10									
17	1	42 New	42 New	9	9				7		4	4	9		4	2								
17	1	42 New	42 New	10	10		4	2	12	2	10	2	25	5	12	4								
17	2	167	167	1	1										1									
17	2	167	167	2	2																			
17	2	167	167	3	3										1			2				7,5	6,5	
17	2	167	167	4	4									1	2	1		5				7	6	7
17	2	167	167	5	5							1	4	2	6	3		9		4		5	5,5	6
17	2	167	167	8	8																			
17	2	167	167	9	9									2	5	2		2				7	7	
17	2	167	167	10	10								8	3	6									
17	2	250	250	1	1																			
17	2	250	250	2	2																			
17	2	250	250	3	3								10											
17	2	250	250	4	4										1									
17	2	250	250	5	5													3						
17	2	279	279	1	1								2	3	2	6	10		5	4		6	6,5	6,5
17	2	279	279	2	2																			
17	2	279	279	3	3										2	2								
17	2	279	279	4	4								4		6	2								
17	2	279	279	5	5													2						
17	2	279	279	6	6																			
17	2	279	279	7	7								1	1	5	2		2						
17	2	279	279	8	8																			
17	2	279	279	9	9																			
17	2	279	279	10	10											1	1	1						
17	2	353	353	1	1																			
17	2	353	353	3	3										1	4		1				8	7	5,5
17	2	353	353	4	4						5	3	9	3	8									
17	2	353	353	5	5								3	1	2	3		3				6	7	6,5
17	2	353	353	6	6						1	1	3		7									
17	2	353	353	7	7										2	1		1		1		7		
17	2	353	353	8	8						3	1	12	3	16	13		2				6	7	6,5
17	2	353	353	9	9		5		7		7	1	22	2	22	3	10	3						
17	2	353	353	10	10							1	6	4	1					1		6		
17	2	120 New	120 New	2	2													1		1		6		
17	2	120 New	120 New	3	3								11			8		6				6	5,5	5,5
17	2	120 New	120 New	4	4				10	1	30	2	32	9	14	4						6	5,5	5,5
17	2	120 New	120 New	5	5																			
17	2	120 New	120 New	6	6								1											
17	2	120 New	120 New	8	8																			
17	2	120 New	120 New	10	10																			
17	2	250 New	250 New	1	11								2		5									
17	2	250 New	250 New	2	12								5		4	1								
17	2	250 New	250 New	3	13									1	3			1						
17	2	250 New	250 New	4	14											1								
17	2	250 New	250 New	5	15																			
17	2	250 New	250 New	6	6												1	1	3	3				
17	2	250 New	250 New	7	7																			
17	2	250 New	250 New	8	8								2	1	1	1		3				6,5	7	7
17	2	250 New	250 New	10	10								2	1	5			3		2		7,5	6	6,5
17	2	250 New 	250 New 	9	9		2		2		1	2	8	3	15	1								
17	3	51	51	2	2						2	4	7	4	6	5		4				6	6,5	7
17	3	51	51	3	3										1	2		6				5,5	6	6
17	3	127	127	1	1								1		1		15	3				7,5	7	6,5
17	3	127	127	3	3																			
17	3	127	127	4	4								8	4	10	6	8	6	10	4		6,5	6	5,5
17	3	127	127	5	5				5		9	3	13	2	8	10	7	11		10		4,5	5	5
17	3	127	127	6	6										2									
17	3	127	127	7	7										7	5	35	9	4	4		10	9	8
17	3	127	127	8	8							3	9	14	31	6	45	8		2		9	9	10
17	3	127	127	9	9																			
17	3	127	127	10	10							3	11	3	23	13	10	15	6	9		6,5	6,5	7
17	3	236	236	2	2																			
17	3	236	236	3	3										1	1								
17	3	236	236	4	4							1	1	1	3	1								
17	3	236	236	5	5				2	2														
17	3	236	236	6	6				1		1		3	1										
17	3	236	236	7	7																			
17	3	236	236	8	8																			
17	3	236	236	9	9																			
17	3	236	236	10	10				2			2	10	3	9		12	5		2		5	5,5	6
17	3	245	245	1	1																			
17	3	245	245	3	3							2	5	2	6	3	13	9		2		5	6	6
17	3	245	245	4	4										4	1		1		2		6	7	
17	3	245	245	6	6												3	2		3				
17	3	327 New?	327 New?	1	1						22	9	45	9	40	9		2				8	7	7,5
