stream	date	patch	pl_id	height	temp	n_fl	n_bud	stage	dist_water
17	30/06/2015	1	42	2.6	12.5		2	3	50
17	30/06/2015	1	8	1.5	11.7		1	3	65
17	30/06/2015	1	122	4	11.2	1	1	5	100
17	30/06/2015	1	23	2.3	11.7	1	1	5	30
17	30/06/2015	1	173	5	11.3		2	3	10
17	30/06/2015	2	167	2	12.3		2	2.5	105
17	30/06/2015	2	120	2	12.6		1	1	95
17	30/06/2015	2	279	4.2	11.4		3	2.5	130
17	30/06/2015	2	250	2.7	11.3	1	0	5	25
17	30/06/2015	2	353	6.2	10.7	1	0	5	20
17	30/06/2015	3	236	2	11.5		3	2	180
17	30/06/2015	3	51	1.3	12.5		1	1.5	150
17	30/06/2015	3	245	1.1	12.1		2	2	60
17	30/06/2015	3	327	4.2	11.5	1	1	5	30
17	30/06/2015	3	127	6.9	10.5		7	4	12
17	30/06/2015	4	131	3	6.8		2	2	5
17	30/06/2015	4	314	3.5	8.9		2	3	5
17	30/06/2015	4	12	1.5	12.5		1	1.5	90
17	30/06/2015	4	263	1	12.2		1	1	110
17	30/06/2015	4	49	1.1	12.2		2	2	150
17	30/06/2015	5	290	1.2	11.3		1	2	270
17	30/06/2015	5	85	1.2	10.9		1	2	225
17	30/06/2015	5	172	1.9	12.1		1	2	100
17	30/06/2015	5	357	2	9.9		2	2.5	75
17	30/06/2015	5	215	3	9.9		3	3	20
WS	01/07/2015	1	43	11.9	24.4	1	1	5	>1000
WS	01/07/2015	1	82	7	26	1	2	5	>1000
WS	01/07/2015	1	218	6	27.9		3	4	>1000
WS	01/07/2015	1	53	2.7	24		1	2	>1000
WS	01/07/2015	1	287	6.5	26.8	1	2	5	>1000
WS	01/07/2015	2	109	7.6	30	1	2	5	>1000
WS	01/07/2015	2	10	10.2	31		4	4	>1000
WS	01/07/2015	2	235	10	32.5	1	4	5	>1000
WS	01/07/2015	2	333	6.2	30.9	1	5	5	>1000
WS	01/07/2015	2	168	12.6	31.2	1	3	5	>1000
WS	01/07/2015	3	223	5.6	29.5	1	2	5	>1000
WS	01/07/2015	3	5	5.5	30.8	1	1	5	>1000
WS	01/07/2015	3	282	4	29.8	1	0	5	>1000
WS	01/07/2015	3	325	7	31.3	1	2	5	>1000
WS	01/07/2015	3	144	3.7	30.8	1	1	5	>1000
WS	01/07/2015	4	443	5.7	29.8		1	4	>1000
WS	01/07/2015	4	1076	3.6	31.7	1	1	5	>1000
WS	01/07/2015	4	542	4	32.4	1	1	5	>1000
WS	01/07/2015	4	927	3.8	33.7	1	0	5	>1000
WS	01/07/2015	4	829	4.7	31.6		2	3	>1000
WS	01/07/2015	5	671	6.9	25.4	1	2	5	>1000
WS	01/07/2015	5	597	2.8	24.7		1	2.5	>1000
WS	01/07/2015	5	599	4.6	26.2		3	3	>1000
WS	01/07/2015	5	521	9.6	26	1	7	5	>1000
WS	01/07/2015	5	746	2.2	26.2		1	2	>1000
Main	02/07/2015	1	553	9.8	22.2	1	3	5	>300
Main	02/07/2015	1	522	7.5	22.2	1	3	5	>300
Main	02/07/2015	1	377	8.5	23.5	1	6	5	>300
Main	02/07/2015	1	646	9.5	23.6	1	6	5	>300
Main	02/07/2015	1	871	9.2	23.8	1	6	5	>300
Main	02/07/2015	2	761	9.6	23.1	1	5	5	>300
Main	02/07/2015	2	776	7.7	22	1	5	5	>300
Main	02/07/2015	2	567	12	22.4	1	6	5	230
Main	02/07/2015	2	857	7.5	22.6		5	3	135
Main	02/07/2015	2	732	7.4	22.7	1	2	5	75
Main	02/07/2015	5	730	5.7	20.2	1	2	5	>300
Main	02/07/2015	5	786	11	20.4		6	2.5	>300
Main	02/07/2015	5	559	6.7	20.5	1	3	5	>300
Main	02/07/2015	5	795	3.4	14.9	1	3	5	150
Main	02/07/2015	5	1022	4.5	14.6	1	3	5	130
Main	02/07/2015	11	748	10.2	17.2	1	5	5	?300
Main	02/07/2015	11	1047	7.4	16.6	1	3	5	?300
Main	02/07/2015	11	531	8	16.8	1	5	5	?300
Main	02/07/2015	11	759	5.8	16.2		6	4	?300
Main	02/07/2015	11	964	9.2	15.4	3	3	5	?300
Main	02/07/2015	12	524	5.4	15.1	1	1	5	60
Main	02/07/2015	12	654	8.5	15.5	1	3	5	50
Main	02/07/2015	12	690	3.7	15	1	2	5	80
Main	02/07/2015	12	392	5.5	15	1	2	5	45
Main	02/07/2015	12	530	4.7	14.3	1	2	5	40
Parking	03/07/2015	3	466	5.5	16.3		3	3	>300
Parking	03/07/2015	3	558	10.3	15.7	1	3		>300
Parking	03/07/2015	3	611	8.3	16.9	1	4		>300
Parking	03/07/2015	3	983	4.5	15.9		3	2	>300
Parking	03/07/2015	3	737	5.5	16.9	1	2		>300
Parking	03/07/2015	4	700	3.8	15		2	3	>300
Parking	03/07/2015	4	447	6.3	15.9	1	1		>300
Parking	03/07/2015	4	378	6	14.8	1	2		>300
Parking	03/07/2015	4	814	4.5	14.2		3	4.5	>300
Parking	03/07/2015	4	595	4.6	14.4		3	3	>300
Parking	03/07/2015	5	913	5.5	16.2	1	2		60
Parking	03/07/2015	5	1012	3.5	16.4	1	2		40
Parking	03/07/2015	5	1072	4.6	15.8	1	3		30
Parking	03/07/2015	5	389	4	15.6		3	3	130
Parking	03/07/2015	5	672	4.4	15.1	1	3		130
Parking	03/07/2015	1	605	5.5	12.1		3	2.5	>300
Parking	03/07/2015	1	600	6	11.9		4	2	>300
Parking	03/07/2015	1	782	6	12.5		2	2.5	>300
Parking	03/07/2015	1	428	13.9	11.5		6	3	>300
Parking	03/07/2015	1	504	7.9	11.7		5	3	>300
Parking	03/07/2015	2	771	4.2	13.4	1	1		60
Parking	03/07/2015	2	441	3.3	13.2	1	3		120
Parking	03/07/2015	2	867	3	12.7	1	2		190
Parking	03/07/2015	2	432	3.4	13.4		3	2	100
Parking	03/07/2015	2	791	1.7	13.5	1	2		150
